Date,Temperature,Turbidity,pH,Dissolved Oxygen,Total Suspended Solids
7/1/2015,282.15,14,7.2,3,301
23-01-15,285.15,20,7.17,2.1,269
8/2/2015,282.15,23,7.28,3.6,320
24-02-15,293.15,35,7.28,2.9,352
12/3/2015,287.15,28,7.44,3.1,370
28-03-15,290.15,14,7.15,1.9,362
13-04-15,288.15,27,7.1,2.5,338
29-04-15,287.15,25,7.2,2.2,328
15-05-15,290.15,12,7.13,2.1,339
31-05-15,301.15,33,7.68,3.5,380
16-06-15,299.15,29,7.72,3.9,340
2/7/2015,302.15,38,7.11,3.1,320
3/8/2015,295.15,44,7.21,3.3,312
19-08-15,299.15,21,7.39,3.2,400
4/9/2015,298.15,30,7.42,2.1,381
20-09-15,300.15,25,7.11,3.5,349
6/10/2015,298.15,32,7.33,3.4,375
22-10-15,295.15,18,7.76,4.4,342
7/11/2015,291.15,21,7.3,3.5,381
23-11-15,288.15,18,7.5,3.1,372
9/12/2015,292.15,23,7.1,3.7,397
25-12-15,287.15,14,7.4,3.4,342
1/1/2016,286.15,17,7.23,3.1,298
26-01-16,288.15,22,7.21,2.7,301
11/2/2016,283.15,24,7.38,3.7,328
27-02-16,291.15,32,7.25,3.8,349
14-03-16,288.15,24,7.54,3.3,380
30-03-16,289.15,12,7.19,2.3,360
15-04-16,289.15,25,7.18,2.9,328
1/5/2016,291.15,14,7.23,2.3,352
17-05-16,298.15,29,7.58,3.5,340
2/6/2016,296.15,40,7.12,3.3,343
18-06-16,301.15,35,7.82,3.7,368
4/7/2016,300.15,33,7.31,3.8,401
20-07-16,292.15,25,7.36,3.4,394
5/8/2016,297.15,55,7.25,3.2,392
21-08-16,301.15,25,7.49,3.6,390
6/9/2016,299.15,35,7.32,2.8,388
22-09-16,299.15,29,7.31,3.8,350
8/10/2016,296.15,30,7.42,3.2,388
24-10-16,293.15,15,7.88,4.1,339
9/11/2016,289.15,20,7.38,3.1,310
25-11-16,288.15,20,7.5,3.9,371
11/12/2016,290.15,28,7.25,3.5,397
27-12-16,288.15,16,7.3,3.1,372
12/1/2017,286.15,21,7.2,3.9,362
28-01-17,286.15,34,7.32,3.5,375
13-02-17,284.15,25,7.28,3.4,371
1/3/2017,290.15,20,7.41,3.9,368
2/4/2017,295.15,31,7.2,2.6,294
8/4/2017,294.15,55,7.18,5.8,210
18-04-17,298.21,10,7.22,5.9,220
4/5/2017,294.15,18,7.58,6.6,250
20-05-17,294.15,15,7.37,6.3,292
5/6/2017,298.15,16,7.47,6.5,270
21-06-17,297.15,27.1,7.28,6.9,299
7/7/2017,295.15,19,7.23,6.2,264
23-07-17,299.15,38,7.31,2.3,240
8/8/2017,295.15,51,7.32,2.4,223
24-08-17,296.15,28,7.28,2.3,238
9/9/2017,297.15,23,7.29,2.6,232
25-09-17,295.15,19,7.23,5.3,221
11/10/2017,296.15,13,7.33,6,268
27-10-17,293.15,18,7.13,5.9,215
12/11/2017,295.15,15,7.62,6.1,218
28-11-17,265.15,10,7.5,6.8,242
14-12-17,295.1,14.4,7.39,5.8,269
30-12-17,291.21,12,7.29,5.2,218
15-01-18,286.15,21,7.2,2.5,169
31-01-18,284.15,23,7.62,2.3,195
16-02-18,285.15,14,8.44,6.2,223
4/3/2018,290.15,25,8.26,6.8,216
20-03-18,285.15,18,7.34,6.2,238
5/4/2018,294.15,18,7.58,6.6,250
21-04-18,295.15,55,7.18,5.8,210
7/5/2018,296.15,20,7.5,6.1,348
23-05-18,294.15,15,7.37,6.3,292
8/6/2018,295.15,13,7.3,6.1,408
24-06-18,297.15,27.1,7.28,6.9,299
10/7/2018,295.15,18,7.13,6.2,264
26-07-18,299.15,38,7.31,2.3,240
11/8/2018,295.15,51,7.32,2.4,223
27-08-18,296.15,38,7.28,2.3,238
12/9/2018,299.15,22,7.58,2.7,217
28-09-18,297.15,23,7.29,2.6,232
14-10-18,296.15,13,7.33,6,268
30-10-18,293.15,18,7.13,5.9,215
15-11-18,295.15,16,7.64,6.1,218
1/12/2018,278.16,7.34,4.11,5.8,210
2/1/2019,300.36,17.16,7.4,5.2,235
18-01-19,280.21,12,7.49,6.4,220
3/2/2019,293.25,14.3,7.28,5.4,276
19-02-19,288.15,14,7.42,5.9,227
7/3/2019,280.3,7.45,7.37,5.8,212
23-03-19,289.15,8,7.14,5.8,237
8/4/2019,298.21,10,7.22,5.9,220
24-04-19,297.56,11,7.28,6.4,241
10/5/2019,299.21,16,7.72,6.1,290
26-05-19,297.62,11,7.3,6.4,267
11/6/2019,298.15,16,7.47,6.5,270
14-08-19,304.15,998,7.18,5.9,269
30-08-19,299.15,39,7.49,5.8,218
15-09-19,300.12,14,7.42,5.9,288
17-10-19,298.15,16,7.34,6.1,293
2/11/2019,295.1,14.4,7.39,5.8,269
18-11-19,291.21,12,7.29,5.2,238
4/12/2019,288.16,7.45,4.22,5.9,220
16-08-20,302.15,348,7.3,5.8,259
17-09-20,300.15,24,7.38,5.4,263
3/10/2020,299.15,41,7.43,5.8,259
10/10/2020,298.15,25,7.16,5.5,284
12/10/2020,298.15,25,7.59,5.8,340
17-10-20,297.16,26,7.42,5.6,210
19-10-20,300.25,37,7.38,6.1,231
26-10-20,299.2,22,7.5,5.9,218
28-10-20,298.15,18,7.1,6,222
